soldPrice,livingArea,rooms,floor,rent,priceIndex
2400000,80,3,5,4912,31395
2400000,24,1,3,1059,86597
4100000,69,3,2,4004,64286
1900000,61,2,2,4239,38139
2180000,55,2,1,2982,45368
3775000,102,4,5,5068,55644
2110000,25,1,3,2051,78399
6220000,140,5,1,7699,49220
1650000,29,1,2,1659,61107
2450000,52,2,1,3213,55163
2300000,31,2,1,1865,61081
3700000,52,2,2,1979,88810
3220000,60,2,7,3334,55864
2515000,62,2,2,3245,43138
5050000,86,3,0,5358,63676
2400000,35,1,2,1414,49220
2710000,55,2,1,2931,51956
1920000,48,2,2,3298,37568
3600000,63,2,3,3925,64286
2530000,40,1,1,2122,51854
2370000,46,2,1,1888,49107
2645000,68,3,3,4285,34204
2790000,54,2,3,2385,49107
3430000,61,3,1,3605,55864
2375000,59,2,2,2915,41833
2020000,33,1,8,1630,41833
3200000,76,3,3,5617,61107
1820000,55,2,2,2945,30235
2100000,59,2,-1,4713,51571
3750000,49,1,3,2380,87470
3050000,59,2,3,2482,59360
2525000,56,1,1,3190,53999
3700000,85,4,4,4351,45368
2350000,38,2,2,3230,59360
4700000,65,2,4,3389,91423
1730000,66,2,2,5025,37598
2250000,62,2,2,2512,44272
1900000,59,2,2,4519,44764
2520000,77,3,1,3769,40456
2930000,26,1,5,1077,91423
2935000,53,2,2,2854,56162
5530000,91,3,3,5992,59733
2720000,47,2,1,2060,55864
1530000,60,2,2,2269,26839
2980000,46,2,1,2683,53972
2490000,28,1,5,819,86597
3600000,40,2,4,2234,86597
3025000,37,2,5,2566,78513
2660000,53,2,2,2988,51956
2120000,94,4,3,5192,33675
1890000,27,1,8,1177,44289
2503500,54,2,1,3353,42538
1755000,84,3,3,4263,21071
4525000,49,2,2,1620,91423
3520000,40,2,3,983,87470
2200000,62,2,1,4098,31083
6900000,78,3,2,2028,91423
7400000,120,4,1,5979,58930
3850000,34,1,0,1,96954
2875000,63,2,4,3180,63676
1510000,37,1,2,2488,30251
1650000,59,2,0,3721,27458
2700000,110,5,0,7753,51854
2910000,36,1,2,1946,62868
2180000,59,2,3,3932,39203
1600000,71,3,1,3438,24210
2450000,66,2,3,4100,40584
1665000,77,3,1,4580,26839
1920000,74,2,1,3738,31869
1300000,73,3,3,4568,34679
3460000,105,5,2,4526,35968
2800000,94,4,6,4014,35480
3055000,107,5,6,5902,29926
2550000,54,3,3,3495,55864
3400000,39,2,2,1485,86597
3120000,76,3,1,2589,62868
3000000,73,3,2,4879,41951
3390000,43,2,0,2082,83754
4600000,70,3,2,5722,87470
2300000,19,1,2,2128,90800
1830000,39,1,8,2221,35614
3000000,44,2,2,2885,71197
2750000,48,2,3,3158,55163
1960000,57,2,2,3551,35911
7510000,85,3,5,4239,88810
2180000,58,2,3,3705,33600
2510000,48,2,5,3151,55864
4800000,101,4,1,5219,53089
4000000,43,2,1,1811,91423
2975000,58,2,3,4008,68217
1200000,73,2,0,4799,21261
1405000,80,3,7,5055,21306
2550000,55,2,2,3871,49969
1975000,28,1,3,1850,59835
6030000,93,4,4,4972,87470
4090000,41,1,3,2036,90207
1700000,49,1,2,2645,34921
2900000,32,1,6,2506,86597
3725000,52,1,5,2660,87470
2400000,23,1,0,1154,86597
3000000,33,1,1,1603,88100
1110000,18,1,0,1264,43989
2915000,77,3,4,4636,41135
2420000,46,2,1,2220,50890
3550000,41,1,2,1958,86597
2100000,76,4,3,5898,35480
2950000,38,1,3,2136,70589
3000000,56,3,2,3715,55864
4750000,63,2,5,3215,91423
2015000,64,2,4,5046,31869
1475000,31,1,2,2313,35390
2260000,42,2,3,2359,49790
1645000,84,3,1,5612,26770
1010000,33,1,0,2135,26791
4630000,75,2,1,4027,86597
3100000,78,3,2,4645,50890
8500000,123,4,7,4723,91423
3500000,112,4,2,5735,38094
4710000,47,2,1,2551,100212
2400000,103,4,4,5848,29401
3780000,66,4,2,4544,55864
2720000,53,2,2,2790,58930
3800000,64,2,4,2568,87470
3300000,89,4,4,5291,40650
2810000,29,1,5,1371,87470
1675000,64,3,2,4600,25272
5175000,67,3,5,3370,86597
3700000,43,2,0,2854,87470
1750000,85,4,1,4631,29184
2560000,72,3,2,5226,53999
2350000,44,1,3,2967,43173
805000,50,2,2,4621,19078
2510000,59,2,1,3162,53999
3800000,58,2,1,3924,83754
2300000,58,2,1,3792,30424
5555000,96,4,0,4080,86522
2260000,59,2,7,3461,39203
10200000,88,3,7,4072,96954
2950000,75,3,3,4751,49220
3400000,56,2,1,2623,66270
1505000,81,4,2,6510,22648
3650000,45,2,4,1696,91423
2810000,56,2,3,3964,55864
3100000,53,2,2,3204,59360
1680000,89,3,2,6344,30241
1740000,49,1,9,1901,30510
3350000,62,3,3,2698,54077
2750000,87,4,2,3639,37552
2825000,52,2,1,2988,55864
1915000,30,1,1,1963,48429
2320000,89,4,2,4453,30510
7700000,91,3,1,886,87470
5220000,65,2,4,3314,86597
3995000,54,2,1,2993,96954
3280000,33,1,1,1600,87470
2600000,26,1,1,1692,87470
2610000,58,2,3,3100,51854
3720000,50,2,0,2188,78513
3375000,50,2,2,2902,67423
6300000,96,3,0,3507,96954
1735000,104,4,1,7191,34921
3130000,50,1,2,1779,62600
4325000,67,2,2,1677,96954
2615000,31,1,1,1945,86597
2460000,35,2,1,2069,58930
6200000,96,4,2,5316,76768
1850000,68,3,2,3848,24210
1650000,23,1,5,1523,42531
2710000,55,2,4,3465,55864
1810000,80,3,3,4263,31869
3980000,71,3,4,3482,49220
1850000,110,4,2,5036,22784
2600000,77,3,1,3213,35201
3240000,80,3,13,4003,31869
1295000,65,2,1,3825,23138
1820000,31,1,0,1956,49790
3600000,35,2,4,1973,91423
3470000,61,2,1,4270,66270
2750000,87,3,1,5200,42538
2375000,73,3,1,4975,58599
5400000,118,5,1,5480,64286
2450000,52,1,2,3438,61107
2050000,58,2,3,3383,35344
2875000,72,3,3,3720,39203
2920000,38,1,10,2246,68591
3400000,39,1,0,2027,91447
2385000,71,3,3,4308,38139
3000000,79,3,2,4049,55644
2300000,24,1,0,1868,83754
5460000,78,3,2,3835,66993
1700000,76,3,6,3922,34679
4320000,43,2,3,1296,91423
2400000,42,1,3,2373,53999
3595000,79,3,4,4180,53965
3140000,51,2,3,3483,62441
